dataset,task,axis,representation,model,split_seed,nominal_dose,partition,audit_amplification,audit_event,evaluation_amplification,evaluation_event,audit_test_rows,evaluation_test_rows
CASE,arousal,subject,baseline_delta,gpu_mlp,20260923,0.5,heldout,-0.0171428571428572,0,-0.0277777777777776,0,60,60
CASE,arousal,subject,baseline_delta,gpu_mlp,20260923,0.75,heldout,-0.0228571428571429,0,-0.0238095238095237,0,60,60
CASE,arousal,subject,baseline_delta,gpu_mlp,20260923,1.0,heldout,-0.0514285714285714,0,0.0277777777777779,1,60,60
CASE,arousal,subject,baseline_delta,gpu_mlp,20261007,0.25,audit,0.0228571428571429,1,0.0119047619047619,0,60,60
CASE,arousal,subject,baseline_delta,gpu_mlp,20261007,0.5,audit,0.0171428571428572,0,0.0515873015873015,1,60,60
CASE,arousal,subject,baseline_delta,gpu_mlp,20261007,0.75,audit,-0.0199999999999999,0,-0.0277777777777777,0,60,60
CASE,arousal,subject,baseline_delta,gpu_mlp,20261007,1.0,audit,-0.0457142857142855,0,0.0119047619047619,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260813,0.25,heldout,-0.0142857142857143,0,0.0476190476190475,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260813,0.5,heldout,0.0457142857142855,1,0.0634920634920634,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260813,0.75,heldout,0.0257142857142855,1,0.0357142857142857,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260813,1.0,heldout,0.0457142857142855,1,-0.0158730158730159,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260829,0.25,audit,-0.0542857142857142,0,0.0634920634920634,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260829,0.5,audit,-0.0885714285714286,0,0.0634920634920634,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260829,0.75,audit,-0.0285714285714285,0,-0.0158730158730158,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260829,1.0,audit,-0.0685714285714286,0,-0.0039682539682539,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260911,0.25,heldout,-0.0085714285714286,0,0.0396825396825396,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260911,0.5,heldout,0.0142857142857142,0,0.0277777777777777,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260911,0.75,heldout,0.02,1,0.0277777777777777,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260911,1.0,heldout,0.02,1,0.0793650793650793,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260923,0.25,audit,0.0057142857142856,0,0.0,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260923,0.5,audit,0.0457142857142857,1,0.0039682539682539,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260923,0.75,audit,0.0342857142857143,1,-0.0238095238095237,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20260923,1.0,audit,-0.0085714285714285,0,0.0277777777777776,1,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20261007,0.25,heldout,-0.04,0,-0.0238095238095237,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20261007,0.5,heldout,-0.04,0,-0.0119047619047618,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20261007,0.75,heldout,-0.04,0,-0.0396825396825395,0,60,60
CASE,arousal,subject,baseline_delta,linear_logistic,20261007,1.0,heldout,-0.0142857142857142,0,-0.0277777777777776,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260813,0.25,audit,-0.02,0,0.0238095238095238,1,60,60
