n_test,n_events,prevalence,roc_auc,average_precision,average_precision_lift,brier_score,null_brier_score,brier_skill,decision_threshold,balanced_accuracy,sensitivity,specificity,predicted_positive_fraction,mean_predicted_probability,scheme,held_out,training_prevalence,training_oof_balanced_accuracy,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,average_precision_lift_ci_low,average_precision_lift_ci_high,brier_skill_ci_low,brier_skill_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high
240,41,0.17083333333333334,0.697879642113004,0.41240156045075727,2.414057914833701,0.14344365894181565,0.15942708333333336,0.10025538984552107,0.26086447662033296,0.6074273808064714,0.7073170731707317,0.507537688442211,0.5291666666666667,0.2896052907200758,leave_dataset_out,DEAP,0.30416666666666664,0.6401853826593389,0.5748866570696313,0.799048219022357,0.2095019933313232,0.5987310083999916,1.4868989461398041,3.5965761660829623,-0.002596420414303796,0.19982164068743935,0.5125231910946196,0.6904030950166078,0.5277412280701754,0.8571428571428571,0.38502606951871654,0.6220178407818384
240,73,0.30416666666666664,0.7352965302272167,0.5149548370737399,1.6930022040780492,0.2012284785501208,0.22942708333333336,0.12290878815838391,0.2225114871083183,0.6191042572389467,0.4657534246575342,0.7724550898203593,0.3,0.18777142026134158,leave_dataset_out,MAHNOB-HCI,0.17083333333333334,0.6433999264615762,0.645477634065117,0.8130034641881315,0.3779985662379716,0.6510481315120324,1.354258140291892,2.260525322756294,0.029526307835257497,0.20926867970335158,0.5436506662998961,0.6896326183057534,0.32786885245901637,0.5970149253731343,0.6743850626118068,0.8571428571428571
240,81,0.3375,0.691358024691358,0.513586085962233,1.5217365509992087,0.2249326257127078,0.26359375,0.14666935117882052,0.09480886242343702,0.5,1.0,0.0,1.0,0.4918928153353067,leave_task_out,arousal,0.1375,0.6091348265261308,,,,,,,,,,,,,,
240,33,0.1375,0.6731078904991948,0.22235150301671253,1.6171018401215456,0.11521117646142987,0.15859375000000006,0.2735452912776839,0.3048444733349909,0.4855072463768116,0.0,0.9710144927536232,0.025,0.1352800171783213,leave_task_out,valence,0.3375,0.6286978802702072,,,,,,,,,,,,,,
160,58,0.3625,0.7167004732927653,0.5697037009540178,1.5715964164248768,0.23493404143771152,0.26625,0.1176186237081257,0.24597665982647418,0.6247464503042597,0.39655172413793105,0.8529411764705882,0.2375,0.1916448922079725,leave_representation_out,all,0.175,0.6309523809523809,,,,,,,,,,,,,,
160,31,0.19375,0.708677169292323,0.36680321204165334,1.8931778686020817,0.14319986453383632,0.16051757812500003,0.10788671118422855,0.2424345449970679,0.6379094773693423,0.5161290322580645,0.7596899224806202,0.29375,0.18938029642402773,leave_representation_out,normalized_asymmetry,0.259375,0.6779014793350617,,,,,,,,,,,,,,
160,25,0.15625,0.7161481481481481,0.3098553882659339,1.983074484901977,0.1270420599632128,0.14668945312500004,0.13393868981872126,0.3344726642571768,0.6348148148148148,0.44,0.8296296296296296,0.2125,0.232353858521343,leave_representation_out,relative_power,0.278125,0.6571088087942021,,,,,,,,,,,,,,
240,67,0.2791666666666667,0.6950219998274524,0.47996585751728565,1.7192806836440082,0.18868653168821548,0.20817708333333335,0.09362486654647562,0.15083015714227727,0.6265205763092054,0.6865671641791045,0.5664739884393064,0.5041666666666667,0.1958331983052423,leave_model_out,gpu_mlp,0.19583333333333333,0.6710946973872781,,,,,,,,,,,,,,
240,47,0.19583333333333333,0.6979384852827692,0.3923062537838213,2.003265976768449,0.1517302624173395,0.16442708333333336,0.07721854975834086,0.2711698797291079,0.630305368757579,0.6595744680851063,0.6010362694300518,0.45,0.2791662620350356,leave_model_out,linear_logistic,0.2791666666666667,0.6686653438012251,,,,,,,,,,,,,,
