feature,coefficient
numeric__metadata_prior_opportunity,0.5622467657515176
numeric__encoding_margin,0.28595181534103686
numeric__model_capacity,0.23226801689742116
numeric__opportunity_delta,0.21851177985090067
numeric__dose_encoding_interaction,0.21087925595274737
