scheme,held_out,n_test,mae,rmse,r2,spearman_rho,direction_accuracy
leave_dataset_out,DEAP,600,0.014930815216094823,0.018606011263543373,0.006613040925854796,0.1308730520150994,0.78
leave_dataset_out,MAHNOB-HCI,600,0.03350815763360069,0.038783089764085496,-3.1466432010549266,0.2210653164244541,0.295
leave_task_out,arousal,600,0.016627547610843802,0.02128560620877986,-0.07814540102447531,0.21654513618587046,0.7616666666666667
leave_task_out,valence,600,0.017273149063745746,0.021710973991990207,-0.6550221469115383,0.134905998402773,0.6983333333333334
leave_representation_out,all,400,0.01913783443047759,0.024611184507557907,-0.3310229217910412,0.4960454113008847,0.82
leave_representation_out,normalized_asymmetry,400,0.013042953032932358,0.016049853417395073,0.0699483716507111,0.31552011823085535,0.72
leave_representation_out,relative_power,400,0.013248360893444692,0.016914029721756537,0.08863944417122194,0.3573458841671027,0.79
leave_model_out,gpu_mlp,600,0.015243972557352664,0.019172907077158623,0.23564447124107357,0.5159798741065798,0.7266666666666667
leave_model_out,linear_logistic,600,0.011964721183273574,0.015132833341031982,0.015326420927183837,0.3978500044819769,0.7783333333333333
