dataset,task,representation,model,split_seed,partition,audit_count_in_stratum,stratum_coreset_score
EPPVR,valence,relative_power,linear_logistic,20260813,heldout,2,0.01850706905803228
EPPVR,valence,relative_power,linear_logistic,20260829,heldout,2,0.01850706905803228
EPPVR,valence,relative_power,linear_logistic,20260911,audit,2,0.01850706905803228
EPPVR,valence,relative_power,linear_logistic,20260923,audit,2,0.01850706905803228
EPPVR,valence,relative_power,linear_logistic,20261007,heldout,2,0.01850706905803228
SEED-IV,arousal,all,gpu_mlp,20260813,heldout,3,9.114923113595549e-05
SEED-IV,arousal,all,gpu_mlp,20260829,audit,3,9.114923113595549e-05
SEED-IV,arousal,all,gpu_mlp,20260911,audit,3,9.114923113595549e-05
SEED-IV,arousal,all,gpu_mlp,20260923,audit,3,9.114923113595549e-05
SEED-IV,arousal,all,gpu_mlp,20261007,heldout,3,9.114923113595549e-05
SEED-IV,arousal,all,linear_logistic,20260813,audit,2,0.00011950718344453957
SEED-IV,arousal,all,linear_logistic,20260829,heldout,2,0.00011950718344453957
SEED-IV,arousal,all,linear_logistic,20260911,heldout,2,0.00011950718344453957
SEED-IV,arousal,all,linear_logistic,20260923,heldout,2,0.00011950718344453957
SEED-IV,arousal,all,linear_logistic,20261007,audit,2,0.00011950718344453957
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260813,audit,2,0.00014041708016054706
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260829,audit,2,0.00014041708016054706
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260911,heldout,2,0.00014041708016054706
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260923,heldout,2,0.00014041708016054706
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20261007,heldout,2,0.00014041708016054706
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260813,heldout,3,2.550940918057605e-05
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260829,heldout,3,2.550940918057605e-05
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260911,audit,3,2.550940918057605e-05
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260923,audit,3,2.550940918057605e-05
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20261007,audit,3,2.550940918057605e-05
SEED-IV,arousal,relative_power,gpu_mlp,20260813,audit,3,0.00019480157119339833
SEED-IV,arousal,relative_power,gpu_mlp,20260829,heldout,3,0.00019480157119339833
SEED-IV,arousal,relative_power,gpu_mlp,20260911,audit,3,0.00019480157119339833
SEED-IV,arousal,relative_power,gpu_mlp,20260923,audit,3,0.00019480157119339833
SEED-IV,arousal,relative_power,gpu_mlp,20261007,heldout,3,0.00019480157119339833
SEED-IV,arousal,relative_power,linear_logistic,20260813,heldout,2,0.00015807491014576617
SEED-IV,arousal,relative_power,linear_logistic,20260829,audit,2,0.00015807491014576617
SEED-IV,arousal,relative_power,linear_logistic,20260911,heldout,2,0.00015807491014576617
SEED-IV,arousal,relative_power,linear_logistic,20260923,heldout,2,0.00015807491014576617
SEED-IV,arousal,relative_power,linear_logistic,20261007,audit,2,0.00015807491014576617
SEED-IV,valence,all,gpu_mlp,20260813,audit,2,0.006970193813310563
SEED-IV,valence,all,gpu_mlp,20260829,heldout,2,0.006970193813310563
SEED-IV,valence,all,gpu_mlp,20260911,heldout,2,0.006970193813310563
SEED-IV,valence,all,gpu_mlp,20260923,heldout,2,0.006970193813310563
SEED-IV,valence,all,gpu_mlp,20261007,audit,2,0.006970193813310563
SEED-IV,valence,all,linear_logistic,20260813,heldout,3,0.0010127473659603768
SEED-IV,valence,all,linear_logistic,20260829,audit,3,0.0010127473659603768
SEED-IV,valence,all,linear_logistic,20260911,audit,3,0.0010127473659603768
SEED-IV,valence,all,linear_logistic,20260923,audit,3,0.0010127473659603768
SEED-IV,valence,all,linear_logistic,20261007,heldout,3,0.0010127473659603768
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20260813,heldout,3,0.00011673440490928184
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20260829,audit,3,0.00011673440490928184
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20260911,audit,3,0.00011673440490928184
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20260923,audit,3,0.00011673440490928184
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20261007,heldout,3,0.00011673440490928184
SEED-IV,valence,normalized_asymmetry,linear_logistic,20260813,audit,2,6.155700190644633e-05
SEED-IV,valence,normalized_asymmetry,linear_logistic,20260829,heldout,2,6.155700190644633e-05
SEED-IV,valence,normalized_asymmetry,linear_logistic,20260911,heldout,2,6.155700190644633e-05
SEED-IV,valence,normalized_asymmetry,linear_logistic,20260923,heldout,2,6.155700190644633e-05
SEED-IV,valence,normalized_asymmetry,linear_logistic,20261007,audit,2,6.155700190644633e-05
SEED-IV,valence,relative_power,gpu_mlp,20260813,audit,2,0.0006284371496741582
SEED-IV,valence,relative_power,gpu_mlp,20260829,audit,2,0.0006284371496741582
SEED-IV,valence,relative_power,gpu_mlp,20260911,heldout,2,0.0006284371496741582
SEED-IV,valence,relative_power,gpu_mlp,20260923,heldout,2,0.0006284371496741582
SEED-IV,valence,relative_power,gpu_mlp,20261007,heldout,2,0.0006284371496741582
SEED-IV,valence,relative_power,linear_logistic,20260813,heldout,3,0.00014698503618290962
SEED-IV,valence,relative_power,linear_logistic,20260829,heldout,3,0.00014698503618290962
SEED-IV,valence,relative_power,linear_logistic,20260911,audit,3,0.00014698503618290962
SEED-IV,valence,relative_power,linear_logistic,20260923,audit,3,0.00014698503618290962
SEED-IV,valence,relative_power,linear_logistic,20261007,audit,3,0.00014698503618290962
DREAMER,arousal,all,gpu_mlp,20260813,audit,3,0.07097905413967166
DREAMER,arousal,all,gpu_mlp,20260829,heldout,3,0.07097905413967166
DREAMER,arousal,all,gpu_mlp,20260911,audit,3,0.07097905413967166
DREAMER,arousal,all,gpu_mlp,20260923,heldout,3,0.07097905413967166
DREAMER,arousal,all,gpu_mlp,20261007,audit,3,0.07097905413967166
DREAMER,arousal,all,linear_logistic,20260813,heldout,2,0.11137016440400802
DREAMER,arousal,all,linear_logistic,20260829,audit,2,0.11137016440400802
DREAMER,arousal,all,linear_logistic,20260911,heldout,2,0.11137016440400802
DREAMER,arousal,all,linear_logistic,20260923,audit,2,0.11137016440400802
DREAMER,arousal,all,linear_logistic,20261007,heldout,2,0.11137016440400802
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20260813,heldout,2,0.1463845466936806
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20260829,audit,2,0.1463845466936806
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20260911,heldout,2,0.1463845466936806
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20260923,audit,2,0.1463845466936806
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20261007,heldout,2,0.1463845466936806
DREAMER,arousal,normalized_asymmetry,linear_logistic,20260813,heldout,3,0.04310282101559915
DREAMER,arousal,normalized_asymmetry,linear_logistic,20260829,audit,3,0.04310282101559915
DREAMER,arousal,normalized_asymmetry,linear_logistic,20260911,heldout,3,0.04310282101559915
DREAMER,arousal,normalized_asymmetry,linear_logistic,20260923,audit,3,0.04310282101559915
DREAMER,arousal,normalized_asymmetry,linear_logistic,20261007,audit,3,0.04310282101559915
DREAMER,arousal,relative_power,gpu_mlp,20260813,audit,3,0.07097905413967166
DREAMER,arousal,relative_power,gpu_mlp,20260829,heldout,3,0.07097905413967166
DREAMER,arousal,relative_power,gpu_mlp,20260911,audit,3,0.07097905413967166
DREAMER,arousal,relative_power,gpu_mlp,20260923,heldout,3,0.07097905413967166
DREAMER,arousal,relative_power,gpu_mlp,20261007,audit,3,0.07097905413967166
DREAMER,arousal,relative_power,linear_logistic,20260813,heldout,2,0.11137016440400802
DREAMER,arousal,relative_power,linear_logistic,20260829,audit,2,0.11137016440400802
DREAMER,arousal,relative_power,linear_logistic,20260911,heldout,2,0.11137016440400802
DREAMER,arousal,relative_power,linear_logistic,20260923,audit,2,0.11137016440400802
DREAMER,arousal,relative_power,linear_logistic,20261007,heldout,2,0.11137016440400802
DREAMER,valence,all,gpu_mlp,20260813,heldout,2,0.08028891972434284
DREAMER,valence,all,gpu_mlp,20260829,audit,2,0.08028891972434284
DREAMER,valence,all,gpu_mlp,20260911,heldout,2,0.08028891972434284
DREAMER,valence,all,gpu_mlp,20260923,audit,2,0.08028891972434284
DREAMER,valence,all,gpu_mlp,20261007,heldout,2,0.08028891972434284
DREAMER,valence,all,linear_logistic,20260813,audit,3,0.017691026176342706
DREAMER,valence,all,linear_logistic,20260829,heldout,3,0.017691026176342706
DREAMER,valence,all,linear_logistic,20260911,audit,3,0.017691026176342706
DREAMER,valence,all,linear_logistic,20260923,heldout,3,0.017691026176342706
DREAMER,valence,all,linear_logistic,20261007,audit,3,0.017691026176342706
DREAMER,valence,normalized_asymmetry,gpu_mlp,20260813,audit,3,0.0324807033050029
DREAMER,valence,normalized_asymmetry,gpu_mlp,20260829,heldout,3,0.0324807033050029
DREAMER,valence,normalized_asymmetry,gpu_mlp,20260911,audit,3,0.0324807033050029
DREAMER,valence,normalized_asymmetry,gpu_mlp,20260923,heldout,3,0.0324807033050029
DREAMER,valence,normalized_asymmetry,gpu_mlp,20261007,audit,3,0.0324807033050029
DREAMER,valence,normalized_asymmetry,linear_logistic,20260813,heldout,2,0.04407953534005902
DREAMER,valence,normalized_asymmetry,linear_logistic,20260829,audit,2,0.04407953534005902
DREAMER,valence,normalized_asymmetry,linear_logistic,20260911,heldout,2,0.04407953534005902
DREAMER,valence,normalized_asymmetry,linear_logistic,20260923,audit,2,0.04407953534005902
DREAMER,valence,normalized_asymmetry,linear_logistic,20261007,heldout,2,0.04407953534005902
DREAMER,valence,relative_power,gpu_mlp,20260813,heldout,2,0.08028891972434284
DREAMER,valence,relative_power,gpu_mlp,20260829,audit,2,0.08028891972434284
DREAMER,valence,relative_power,gpu_mlp,20260911,heldout,2,0.08028891972434284
DREAMER,valence,relative_power,gpu_mlp,20260923,audit,2,0.08028891972434284
DREAMER,valence,relative_power,gpu_mlp,20261007,heldout,2,0.08028891972434284
DREAMER,valence,relative_power,linear_logistic,20260813,audit,3,0.017691026176342706
DREAMER,valence,relative_power,linear_logistic,20260829,heldout,3,0.017691026176342706
DREAMER,valence,relative_power,linear_logistic,20260911,audit,3,0.017691026176342706
DREAMER,valence,relative_power,linear_logistic,20260923,heldout,3,0.017691026176342706
DREAMER,valence,relative_power,linear_logistic,20261007,audit,3,0.017691026176342706
CASE,arousal,all,gpu_mlp,20260813,heldout,3,0.16030596378459142
CASE,arousal,all,gpu_mlp,20260829,audit,3,0.16030596378459142
CASE,arousal,all,gpu_mlp,20260911,audit,3,0.16030596378459142
CASE,arousal,all,gpu_mlp,20260923,heldout,3,0.16030596378459142
CASE,arousal,all,gpu_mlp,20261007,audit,3,0.16030596378459142
CASE,arousal,all,linear_logistic,20260813,heldout,2,0.31403813074323184
CASE,arousal,all,linear_logistic,20260829,heldout,2,0.31403813074323184
CASE,arousal,all,linear_logistic,20260911,heldout,2,0.31403813074323184
CASE,arousal,all,linear_logistic,20260923,audit,2,0.31403813074323184
CASE,arousal,all,linear_logistic,20261007,audit,2,0.31403813074323184
CASE,arousal,baseline_delta,gpu_mlp,20260813,heldout,2,0.21938004965578606
CASE,arousal,baseline_delta,gpu_mlp,20260829,heldout,2,0.21938004965578606
CASE,arousal,baseline_delta,gpu_mlp,20260911,audit,2,0.21938004965578606
CASE,arousal,baseline_delta,gpu_mlp,20260923,heldout,2,0.21938004965578606
CASE,arousal,baseline_delta,gpu_mlp,20261007,audit,2,0.21938004965578606
CASE,arousal,baseline_delta,linear_logistic,20260813,audit,3,0.060913921376420606
CASE,arousal,baseline_delta,linear_logistic,20260829,audit,3,0.060913921376420606
CASE,arousal,baseline_delta,linear_logistic,20260911,heldout,3,0.060913921376420606
CASE,arousal,baseline_delta,linear_logistic,20260923,audit,3,0.060913921376420606
CASE,arousal,baseline_delta,linear_logistic,20261007,heldout,3,0.060913921376420606
CASE,arousal,facial_emg,gpu_mlp,20260813,audit,3,0.16363520465437295
CASE,arousal,facial_emg,gpu_mlp,20260829,audit,3,0.16363520465437295
CASE,arousal,facial_emg,gpu_mlp,20260911,audit,3,0.16363520465437295
CASE,arousal,facial_emg,gpu_mlp,20260923,heldout,3,0.16363520465437295
CASE,arousal,facial_emg,gpu_mlp,20261007,heldout,3,0.16363520465437295
CASE,arousal,facial_emg,linear_logistic,20260813,heldout,2,0.2753558400967958
CASE,arousal,facial_emg,linear_logistic,20260829,heldout,2,0.2753558400967958
CASE,arousal,facial_emg,linear_logistic,20260911,audit,2,0.2753558400967958
CASE,arousal,facial_emg,linear_logistic,20260923,heldout,2,0.2753558400967958
CASE,arousal,facial_emg,linear_logistic,20261007,audit,2,0.2753558400967958
CASE,arousal,wearable_core,gpu_mlp,20260813,heldout,2,0.3685476090809297
CASE,arousal,wearable_core,gpu_mlp,20260829,heldout,2,0.3685476090809297
CASE,arousal,wearable_core,gpu_mlp,20260911,audit,2,0.3685476090809297
CASE,arousal,wearable_core,gpu_mlp,20260923,audit,2,0.3685476090809297
CASE,arousal,wearable_core,gpu_mlp,20261007,heldout,2,0.3685476090809297
CASE,arousal,wearable_core,linear_logistic,20260813,audit,3,0.11528753785612368
CASE,arousal,wearable_core,linear_logistic,20260829,audit,3,0.11528753785612368
CASE,arousal,wearable_core,linear_logistic,20260911,heldout,3,0.11528753785612368
CASE,arousal,wearable_core,linear_logistic,20260923,heldout,3,0.11528753785612368
CASE,arousal,wearable_core,linear_logistic,20261007,audit,3,0.11528753785612368
CASE,valence,all,gpu_mlp,20260813,audit,2,0.1472304974852341
CASE,valence,all,gpu_mlp,20260829,heldout,2,0.1472304974852341
CASE,valence,all,gpu_mlp,20260911,heldout,2,0.1472304974852341
CASE,valence,all,gpu_mlp,20260923,audit,2,0.1472304974852341
CASE,valence,all,gpu_mlp,20261007,heldout,2,0.1472304974852341
CASE,valence,all,linear_logistic,20260813,heldout,3,0.017779337069297976
CASE,valence,all,linear_logistic,20260829,audit,3,0.017779337069297976
CASE,valence,all,linear_logistic,20260911,audit,3,0.017779337069297976
CASE,valence,all,linear_logistic,20260923,audit,3,0.017779337069297976
CASE,valence,all,linear_logistic,20261007,heldout,3,0.017779337069297976
CASE,valence,baseline_delta,gpu_mlp,20260813,heldout,3,0.01478017187134385
CASE,valence,baseline_delta,gpu_mlp,20260829,audit,3,0.01478017187134385
CASE,valence,baseline_delta,gpu_mlp,20260911,audit,3,0.01478017187134385
CASE,valence,baseline_delta,gpu_mlp,20260923,heldout,3,0.01478017187134385
CASE,valence,baseline_delta,gpu_mlp,20261007,audit,3,0.01478017187134385
CASE,valence,baseline_delta,linear_logistic,20260813,audit,2,0.02186097151808017
CASE,valence,baseline_delta,linear_logistic,20260829,heldout,2,0.02186097151808017
CASE,valence,baseline_delta,linear_logistic,20260911,heldout,2,0.02186097151808017
CASE,valence,baseline_delta,linear_logistic,20260923,audit,2,0.02186097151808017
CASE,valence,baseline_delta,linear_logistic,20261007,heldout,2,0.02186097151808017
CASE,valence,facial_emg,gpu_mlp,20260813,audit,2,0.05170727652883397
CASE,valence,facial_emg,gpu_mlp,20260829,heldout,2,0.05170727652883397
CASE,valence,facial_emg,gpu_mlp,20260911,heldout,2,0.05170727652883397
CASE,valence,facial_emg,gpu_mlp,20260923,heldout,2,0.05170727652883397
CASE,valence,facial_emg,gpu_mlp,20261007,audit,2,0.05170727652883397
CASE,valence,facial_emg,linear_logistic,20260813,heldout,3,0.008001968039537217
CASE,valence,facial_emg,linear_logistic,20260829,audit,3,0.008001968039537217
CASE,valence,facial_emg,linear_logistic,20260911,audit,3,0.008001968039537217
CASE,valence,facial_emg,linear_logistic,20260923,heldout,3,0.008001968039537217
CASE,valence,facial_emg,linear_logistic,20261007,audit,3,0.008001968039537217
CASE,valence,wearable_core,gpu_mlp,20260813,heldout,3,0.016006927782235204
CASE,valence,wearable_core,gpu_mlp,20260829,audit,3,0.016006927782235204
CASE,valence,wearable_core,gpu_mlp,20260911,audit,3,0.016006927782235204
CASE,valence,wearable_core,gpu_mlp,20260923,audit,3,0.016006927782235204
CASE,valence,wearable_core,gpu_mlp,20261007,heldout,3,0.016006927782235204
