dataset,task,representation,model,split_seed,identity_mean,identity_sd,action_mean,action_sd,displacement_mean,displacement_sd,decision_flip_fraction,z_identity_mean,z_identity_sd,z_action_mean,z_action_sd,z_displacement_mean,z_displacement_sd,z_decision_flip_fraction
EPPVR,arousal,all,gpu_mlp,20260813,0.45509164690377646,0.16941801876426474,0.3452600000035101,0.11315225831974149,-0.10983164690026644,0.05654995353637356,0.25,0.9165601334980041,1.3834636871511905,0.9018412126442712,1.3533097456497116,-0.9443492936214136,1.3098138480404198,0.4951925042128867
EPPVR,arousal,all,gpu_mlp,20260829,0.5990600503066568,0.16840593565091475,0.44762476156521736,0.12384960553111948,-0.1514352887414394,0.04582824476908622,0.25,1.733982780424951,1.3605360057603886,1.765880606874841,1.7194706608784016,-1.6641044507349994,0.6569882298902066,0.4951925042128867
EPPVR,arousal,all,gpu_mlp,20260911,0.4956956888588932,0.13968077781715194,0.3696410234742933,0.09199224026881389,-0.1260546653845999,0.04770150362350328,0.5,1.1471014374673465,0.7097976839509804,1.1076362970954547,0.6290206838211589,-1.2250122524706628,0.7710476019672923,1.7731086441171104
EPPVR,arousal,all,gpu_mlp,20260923,0.6122301857482487,0.16080926359887598,0.45621431526233536,0.11770129114710749,-0.15601587048591348,0.04403250863292736,0.25,1.80876006987593,1.188441368331809,1.8383832206644002,1.5090191931005739,-1.7433498529945388,0.547649077095891,0.4951925042128867
EPPVR,arousal,all,gpu_mlp,20261007,0.6788039611321841,0.16909517933715312,0.5142440421203106,0.1367930475162659,-0.16455991901187345,0.03634384241064273,0.25,2.1867521181587115,1.376150098546097,2.328199923959363,2.1625134517536684,-1.8911643883822185,0.07949997994562749,0.4951925042128867
EPPVR,arousal,all,linear_logistic,20260813,0.3563324271935038,0.16038961327585166,0.2794963829323422,0.10185226852479022,-0.07683604426116161,0.058569786734214924,0.25,0.3558258273870848,1.1789346304217163,0.346744370824056,0.9665208975703174,-0.37351572928514376,1.4327978690170244,0.4951925042128867
EPPVR,arousal,all,linear_logistic,20260829,0.49822399467599227,0.17378499199851685,0.37394477211956106,0.11664719524217845,-0.12427922255643119,0.0575264283713126,0.25,1.1614566319711745,1.482392885392312,1.1439633330367847,1.4729384046900507,-1.194296572900753,1.369269649495517,0.4951925042128867
EPPVR,arousal,all,linear_logistic,20260911,0.39025791106039703,0.1323567602703572,0.3000234924609907,0.08259627803804602,-0.09023441859940641,0.04976210398620288,0.5,0.5484476677720878,0.54387974835997,0.5200093793274588,0.30740504754333237,-0.605311519271642,0.896513862498846,1.7731086441171104
EPPVR,arousal,all,linear_logistic,20260923,0.5108590475622001,0.16595184322451292,0.3816211020418777,0.11066994168855317,-0.12923794552032236,0.05554473283972475,0.25,1.233195833977907,1.3049411158606068,1.2087576172690027,1.2683422007431993,-1.280083928718871,1.2486077626196554,0.4951925042128867
EPPVR,arousal,all,linear_logistic,20261007,0.5859478018985255,0.1846440431279512,0.4393888068227514,0.1335287337742433,-0.1465589950757742,0.052754041107283746,0.25,1.6595341615085875,1.7283932990124944,1.6963626473932383,2.0507788241161484,-1.579743145855448,1.0786875479561095,0.4951925042128867
EPPVR,arousal,baseline_delta,gpu_mlp,20260813,0.4476926826021238,0.1676860894727585,0.3401228772318382,0.11133495026136314,-0.10756980537028564,0.056597334854384264,0.25,0.8745503532891482,1.3442286456182722,0.8584798412113126,1.291104867303749,-0.9052187744233023,1.312698811518768,0.4951925042128867
EPPVR,arousal,baseline_delta,gpu_mlp,20260829,0.5704627543544173,0.16502249835195285,0.42518442688094504,0.1173590721076104,-0.14527832747347225,0.048483246656771825,0.5,1.5716132826760778,1.2838877825333619,1.576466467759774,1.4973053322493848,-1.557587222226837,0.8186465332575402,1.7731086441171104
EPPVR,arousal,baseline_delta,gpu_mlp,20260911,0.482300860327083,0.1368090691756435,0.3603965925361404,0.08919169096971719,-0.12190426779094261,0.0476302220584058,0.5,1.0710483873896528,0.64474213672247,1.0296060024320624,0.5331603107550573,-1.1532091616857043,0.7667073953073746,1.7731086441171104
EPPVR,arousal,baseline_delta,gpu_mlp,20260923,0.5881299137382863,0.15781550992494284,0.4370681589973946,0.11222127545473244,-0.15106175474089167,0.046216570500764186,0.25,1.6719237386226462,1.120621018902912,1.6767745478299423,1.3214430097966057,-1.6576422034087224,0.6806326872550413,0.4951925042128867
EPPVR,arousal,baseline_delta,gpu_mlp,20261007,0.6548651232753829,0.1688749400826137,0.49295838357850685,0.13174901355907495,-0.16190673969687608,0.04000114948772647,0.25,2.050832376446344,1.3711608092365326,2.1485321629870278,1.989860545036274,-1.8452636111856757,0.30218684872600543,0.4951925042128867
EPPVR,arousal,baseline_delta,linear_logistic,20260813,0.3492564275890829,0.15771047455252116,0.2748335909981227,0.09988188951086831,-0.07442283659096016,0.05785216742858602,0.25,0.3156497735475932,1.118241552708997,0.3073867260955277,0.8990765332032647,-0.3317665316441186,1.3891033165010036,0.4951925042128867
EPPVR,arousal,baseline_delta,linear_logistic,20260829,0.4678313307043669,0.16614151561653734,0.35240164433658716,0.10900689166232534,-0.11542968636777974,0.057346451200386256,0.5,0.988893408071796,1.309237944960514,0.9621223284229888,1.2114174410208085,-1.041197011709415,1.3583111623352053,1.7731086441171104
EPPVR,arousal,baseline_delta,linear_logistic,20260911,0.37719666765633575,0.12804492025186626,0.2915929628724019,0.07962389625226253,-0.08560370478393384,0.04842244188410839,0.25,0.47428864465902526,0.44619953529442213,0.4488490545473726,0.20566299752050518,-0.5251988175392414,0.8149442396994832,0.4951925042128867
EPPVR,arousal,baseline_delta,linear_logistic,20260923,0.484899517647218,0.1594118172974036,0.3631525320104465,0.1042756832693734,-0.1217469856367716,0.055287461616841366,0.5,1.0858030230935471,1.1567836881094204,1.0528683071313223,1.0494722819949962,-1.1504881344732623,1.2329429792575535,1.7731086441171104
EPPVR,arousal,baseline_delta,linear_logistic,20261007,0.5588286979036968,0.18066382741683004,0.4180714838532478,0.12694868169628112,-0.140757214050449,0.05480849865709332,0.5,1.5055575302077193,1.6382256868001042,1.5164276136552466,1.8255493496015311,-1.4793706393002906,1.2037797836275268,1.7731086441171104
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20260813,0.33981238750593046,0.13417283420309292,0.26839187063876,0.0840295451447311,-0.07142051686717044,0.0501507623379212,0.25,0.26202847845792226,0.5850209984832753,0.25301352117430836,0.3564645372636236,-0.27982552338452615,0.9201785725014057,0.4951925042128867
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20260829,0.46780994398082254,0.1437533563947283,0.35097420050332423,0.09336761141851009,-0.1168357434774983,0.05050944077693219,0.5,0.9887719787042716,0.8020576800264079,0.9500735756473847,0.6760984451577495,-1.0655222104451325,0.9420178593862466,1.7731086441171104
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20260911,0.3881141515490199,0.11235334729562552,0.29829196682247516,0.06989592601234272,-0.08982218472654474,0.04246174384047547,0.25,0.53627584720073,0.09072340836807606,0.505393936073622,-0.12731698489773888,-0.5981797528493222,0.45200802594836575,0.4951925042128867
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20260923,0.478234969359998,0.13476823149033834,0.35716285292969985,0.08698078555695195,-0.12107211643029818,0.04785747519657143,0.5,1.0479631042450561,0.5985090995323341,1.0023106874425969,0.4574829364092824,-1.1388127000583912,0.7805444313265023,1.7731086441171104
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20261007,0.569088426557803,0.16018589738835542,0.42310304442077584,0.1123732047941823,-0.1459853821370272,0.04863341388374103,0.5,1.563810135327767,1.1743196606616755,1.558897956754523,1.3266434192891459,-1.5698194744512384,0.8277899463925045,1.7731086441171104
EPPVR,arousal,normalized_asymmetry,linear_logistic,20260813,0.25093013867824343,0.1143923493022351,0.21139532161706476,0.07192122394677793,-0.0395348170611787,0.04248629662539123,0.0,-0.24262644154026594,0.13691486018274926,-0.22808234559280596,-0.05799279352300253,0.2718063977139265,0.4535030009880577,-0.7827236356913372
EPPVR,arousal,normalized_asymmetry,linear_logistic,20260829,0.3643856639823587,0.13234720594400712,0.28339798871767174,0.08281777576012707,-0.08098767526468693,0.0495380332407197,0.25,0.40155043067975127,0.5436633051177413,0.3796770035762991,0.3149867224236244,-0.44534015842112334,0.8828705966627378,0.4951925042128867
EPPVR,arousal,normalized_asymmetry,linear_logistic,20260911,0.2897182149991856,0.09669366780644566,0.2363080815915385,0.060080954362779736,-0.053410133407647074,0.0366164355247318,0.0,-0.022395812693584958,-0.26403020551406015,-0.017798985298161468,-0.4632749500954189,0.03175937166079865,0.09609768578442493,-0.7827236356913372
EPPVR,arousal,normalized_asymmetry,linear_logistic,20260923,0.372998656650692,0.12353491975380167,0.2885828554825635,0.07695601982501168,-0.08441580116812848,0.046581833774199125,0.25,0.45045321141844846,0.3440302044084271,0.4234413720010985,0.11434390176560726,-0.5046477379752492,0.7028729128984827,0.4951925042128867
EPPVR,arousal,normalized_asymmetry,linear_logistic,20261007,0.4655338420002011,0.15926284327330664,0.35011052607881593,0.10374378099869715,-0.1154233159213851,0.05571738808240107,0.5,0.9758487451217699,1.1534088378476715,0.9427834817207288,1.0312657286884077,-1.041086801125852,1.259120430700227,1.7731086441171104
EPPVR,arousal,relative_power,gpu_mlp,20260813,0.3045856658718682,0.12032416339040167,0.24587240957420994,0.07488550874061026,-0.05871325629765824,0.045438678565570614,0.0,0.06201848070797274,0.27129388665695375,0.06293149294740426,0.043472103489377134,-0.05998620348534635,0.6332682424198836,-0.7827236356913372
EPPVR,arousal,relative_power,gpu_mlp,20260829,0.444975066849536,0.13738513286829168,0.33554201075804513,0.08799274554493867,-0.10943305609149087,0.04946360488502304,0.5,0.859120296350931,0.6577922554643276,0.8198137120406671,0.4921214489352587,-0.9374535561931971,0.8783387875668012,1.7731086441171104
EPPVR,arousal,relative_power,gpu_mlp,20260911,0.33264667780033136,0.09556352458126516,0.2633095756303249,0.05899743457538247,-0.06933710217000646,0.036567276738602945,0.0,0.22134306932499206,-0.28963241490884467,0.21011493934405462,-0.5003628924779744,-0.24378184051621574,0.09310449546013629,-0.7827236356913372
