dataset,scale,shift,domain_auc,weight_min,weight_max,weight_ess
CASE,1.2278494834899902,0.12203215807676315,0.9140625,0.025093271330720663,10.037308532288264,110.63258780784619
CEAP,1.2589287757873535,0.14316736161708832,0.9997135416666667,0.21599275449910932,10.818709562106614,133.52640191403262
DREAMER,1.1065055131912231,-0.04670590162277222,0.84890625,0.013420781374503771,5.368312549801508,145.55138242009596
EPPVR,1.3213436603546143,0.30552974343299866,0.9491536458333334,0.030429122620879972,10.792188170028837,96.10367468748407
SEED-IV,2.1019275188446045,0.5898394584655762,0.9858854166666667,0.04241415750146153,16.965663000584613,43.65860120120828
