population,task,split_seed,fold,nominal_dose,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,candidate_min,candidate_max,candidate_size,intervention_block_size,removed_control_size,n_train,n_test,subject_coverage,row_overlap_with_test
audit_population,arousal,20260813,s0_r0,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r0,0.25,0.26282450619298403,0.1709691692487431,0.2333333333333334,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r0,0.5,0.5119550060023789,0.32532298396677023,0.2333333333333334,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r0,0.75,0.7262040417201814,0.4580652856440159,0.2333333333333334,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r0,1.0,1.0,0.6277010815309156,0.2333333333333334,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r1,0.0,0.0,0.004732118781357297,0.0,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r1,0.25,0.26153683330631705,0.19826661220276068,-0.16826923076923078,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r1,0.5,0.4707084253469469,0.35305138034407463,0.13461538461538458,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r1,0.75,0.7457927813561762,0.5566108974314649,0.16826923076923084,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s0_r1,1.0,1.0,0.7447215534424859,0.13461538461538458,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r0,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r0,0.25,0.2230879634123706,0.18009797034426878,-0.23333333333333334,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r0,0.5,0.5022241199367941,0.39526964674265996,-0.23333333333333334,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r0,0.75,0.7240176086853187,0.5662388159914029,0.1166666666666667,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r0,1.0,1.0,0.778979417334536,0.3500000000000001,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r1,0.0,0.0,0.1304747089888707,0.0,0.1304747089888707,0.8097299078867453,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r1,0.25,0.20452167596284554,0.26939712067394,0.13461538461538458,0.1304747089888707,0.8097299078867453,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r1,0.5,0.4900762632397839,0.46336155865093726,0.13461538461538458,0.1304747089888707,0.8097299078867453,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r1,0.75,0.8660792596706297,0.7187635487777683,0.13461538461538458,0.1304747089888707,0.8097299078867453,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s1_r1,1.0,1.0,0.8097299078867453,0.13461538461538458,0.1304747089888707,0.8097299078867453,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r0,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.5544279649488083,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r0,0.25,0.2523573156396334,0.1459930036879852,0.0,0.008130957294339092,0.5544279649488083,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r0,0.5,0.4836456262202517,0.2723451156636345,0.09722222222222221,0.008130957294339092,0.5544279649488083,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r0,0.75,0.7086597290922462,0.39526964674265996,-0.09722222222222221,0.008130957294339092,0.5544279649488083,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r0,1.0,1.0,0.5544279649488083,-0.09722222222222221,0.008130957294339092,0.5544279649488083,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r1,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r1,0.25,0.25574184847448117,0.1459930036879852,0.0,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r1,0.5,0.49013212136394896,0.2723451156636345,-0.09722222222222221,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r1,0.75,0.7573153660441081,0.4163748436624781,-0.09722222222222221,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s2_r1,1.0,1.0,0.5471981737706542,0.0,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r0,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r0,0.25,0.24101292013497874,0.13805312128633052,-0.0357142857142857,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r0,0.5,0.49013212136394896,0.2723451156636345,-0.0357142857142857,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r0,0.75,0.7181640389465801,0.39526964674265996,-0.1428571428571429,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r0,1.0,1.0,0.5471981737706542,-0.0357142857142857,0.008130957294339092,0.5471981737706542,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r1,0.0,0.0,0.004732118781357297,0.0,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r1,0.25,0.26153683330631705,0.19826661220276068,-0.06730769230769229,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r1,0.5,0.4707084253469469,0.35305138034407463,-0.06730769230769229,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r1,0.75,0.6854041512237239,0.5119239491597914,-0.06730769230769229,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s3_r1,1.0,1.0,0.7447215534424859,-0.06730769230769229,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s4_r0,0.0,0.0,0.12750048608888725,0.33653846153846156,0.12750048608888725,0.856817212858753,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s4_r0,0.25,0.22537277233594907,0.29186861871199177,0.33653846153846156,0.12750048608888725,0.856817212858753,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s4_r0,0.5,0.5061519824227848,0.49664559315755125,0.33653846153846156,0.12750048608888725,0.856817212858753,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s4_r0,0.75,0.6858482427208413,0.6277010815309156,0.33653846153846156,0.12750048608888725,0.856817212858753,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s4_r0,1.0,1.0,0.856817212858753,0.16826923076923084,0.12750048608888725,0.856817212858753,21,10,10,168,21,1.0,0
audit_population,arousal,20260813,s4_r1,0.0,0.0,0.0751105862453152,0.33653846153846156,0.0751105862453152,0.8327496873249557,21,10,10,168,21,1.0,0
