task,representation,model,split_seed,identity_mean,identity_sd,action_mean,action_sd,displacement_mean,displacement_sd,decision_flip_fraction,z_identity_mean,z_identity_sd,z_action_mean,z_action_sd,z_displacement_mean,z_displacement_sd,z_decision_flip_fraction
arousal,all,gpu_mlp,20260813,0.7283971340352506,0.25800706462098577,0.7283971340352506,0.25800706462098577,0.0,0.0,0.0,1.4818961680605909,0.5358643750754684,1.4818961680605909,0.5358643750754684,0.0,0.0,0.0
arousal,all,gpu_mlp,20260829,0.7180709447855844,0.3000277598853895,0.7180709447855844,0.3000277598853895,0.0,0.0,0.0,1.4268479398250695,1.1196802134805388,1.4268479398250695,1.1196802134805388,0.0,0.0,0.0
arousal,all,gpu_mlp,20260911,0.760109321568634,0.2591646861398482,0.760109321568634,0.2591646861398482,0.0,0.0,0.0,1.6509517310546322,0.551947825702306,1.6509517310546322,0.551947825702306,0.0,0.0,0.0
arousal,all,gpu_mlp,20260923,0.7144438877712869,0.26265467292317835,0.7144438877712869,0.26265467292317835,0.0,0.0,0.0,1.407512340068097,0.6004360657733477,1.407512340068097,0.6004360657733477,0.0,0.0,0.0
arousal,all,gpu_mlp,20261007,0.45752643995014064,0.2604125657095542,0.45752643995014064,0.2604125657095542,0.0,0.0,0.0,0.03790250981990007,0.5692852793696563,0.03790250981990007,0.5692852793696563,0.0,0.0,0.0
arousal,all,linear_logistic,20260813,0.6649780965402688,0.2853528282635728,0.6649780965402688,0.2853528282635728,0.0,0.0,0.0,1.143813496312764,0.9157935939370109,1.143813496312764,0.9157935939370109,0.0,0.0,0.0
arousal,all,linear_logistic,20260829,0.6644686291135493,0.32351138965346454,0.6644686291135493,0.32351138965346454,0.0,0.0,0.0,1.1410975593386739,1.4459507550690551,1.1410975593386739,1.4459507550690551,0.0,0.0,0.0
arousal,all,linear_logistic,20260911,0.7037170933701444,0.2839699298241968,0.7037170933701444,0.2839699298241968,0.0,0.0,0.0,1.3503285124088575,0.8965802513986906,1.3503285124088575,0.8965802513986906,0.0,0.0,0.0
arousal,all,linear_logistic,20260923,0.6509210141407291,0.29947184032298396,0.6509210141407291,0.29947184032298396,0.0,0.0,0.0,1.068876124786244,1.1119565277259507,1.068876124786244,1.1119565277259507,0.0,0.0,0.0
arousal,all,linear_logistic,20261007,0.3765476272095406,0.25926950352339234,0.3765476272095406,0.25926950352339234,0.0,0.0,0.0,-0.3937901561004137,0.5534041092851499,-0.3937901561004137,0.5534041092851499,0.0,0.0,0.0
