task,representation,n_features,model,split_seed,nominal_dose,unseen_balanced_accuracy,dose_balanced_accuracy,subject_exposure_effect,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,encoding_margin,dataset,population,axis,dose_zero_exposure_effect,dose_zero_label_opportunity,dose_zero_metadata_prior_opportunity,dose_induced_amplification,opportunity_delta,metadata_prior_delta,dose_encoding_interaction,model_capacity,material_optimism_event,probability_identity
arousal,all,72,gpu_mlp,20260813,0.25,0.4524948735475051,0.46206425153793573,0.009569377990430616,0.24297536880791265,0.19971834196406696,0.0536401098901099,0.4952380952380952,EPPVR,audit_population,subject,0.005809979494190043,0.03832048053574832,0.06730769230769232,0.0037593984962405735,0.16139786142831863,-0.013667582417582418,0.07993036946926256,4.0,0,0.3129202254259209
arousal,all,72,gpu_mlp,20260813,0.5,0.4524948735475051,0.47812713602187285,0.02563226247436773,0.4972113779556527,0.37003834833545224,0.08392857142857144,0.4952380952380952,EPPVR,audit_population,subject,0.005809979494190043,0.03832048053574832,0.06730769230769232,0.019822282980177686,0.3317178677997039,0.016620879120879117,0.16427932500556763,4.0,0,0.7183619470599677
arousal,all,72,gpu_mlp,20260813,0.75,0.4524948735475051,0.48564593301435405,0.03315105946684893,0.734684368907701,0.5273918797214072,0.09213522588522591,0.4952380952380952,EPPVR,audit_population,subject,0.005809979494190043,0.03832048053574832,0.06730769230769232,0.027341079972658888,0.4890713991856589,0.02482753357753359,0.24220678816813582,4.0,1,0.9023038364807456
arousal,all,72,gpu_mlp,20260813,1.0,0.4524948735475051,0.475393028024607,0.022898154477101862,1.0,0.7044244726310994,0.11571275946275947,0.4952380952380952,EPPVR,audit_population,subject,0.005809979494190043,0.03832048053574832,0.06730769230769232,0.01708817498291182,0.6661039920953511,0.04840506715506715,0.3298800722757929,4.0,0,0.9800025271743682
arousal,all,72,gpu_mlp,20260829,0.25,0.4805194805194805,0.47983595352016406,-0.0006835269993164528,0.24568983923001922,0.19730505464104242,0.019973221223221215,0.5095238095238095,EPPVR,audit_population,subject,0.011278195488721832,0.02710409737226659,0.00972222222222222,-0.011961722488038284,0.17020095726877582,0.010250999000998995,0.08672144013218577,4.0,0,0.23112242543440475
arousal,all,72,gpu_mlp,20260829,0.5,0.4805194805194805,0.47710184552289814,-0.003417634996582375,0.4968301794493207,0.37154243494889283,0.07135142635142634,0.5095238095238095,EPPVR,audit_population,subject,0.011278195488721832,0.02710409737226659,0.00972222222222222,-0.014695830485304207,0.34443833757662623,0.06162920412920412,0.1754995339080905,4.0,0,0.7093670299264936
arousal,all,72,gpu_mlp,20260829,0.75,0.4805194805194805,0.5338345864661654,0.053315105946684926,0.7037504280413203,0.5184019589722606,0.15122779997779995,0.5095238095238095,EPPVR,audit_population,subject,0.011278195488721832,0.02710409737226659,0.00972222222222222,0.042036910457963095,0.491297861599994,0.14150557775557773,0.25032795805333025,4.0,1,0.9616345097869161
arousal,all,72,gpu_mlp,20260829,1.0,0.4805194805194805,0.48632946001367056,0.005809979494190043,1.0,0.7208149199262481,0.070008325008325,0.5095238095238095,EPPVR,audit_population,subject,0.011278195488721832,0.02710409737226659,0.00972222222222222,-0.005468215994531789,0.6937108225539815,0.06028610278610278,0.35346218101560006,4.0,0,0.9701598139945229
arousal,all,72,gpu_mlp,20260911,0.25,0.45010252904989745,0.4818865345181135,0.031784005468216026,0.24694652520578472,0.2002118780001542,0.055018939393939405,0.5166666666666666,EPPVR,audit_population,subject,0.029049897470950103,0.045325065194091685,0.015909090909090918,0.002734107997265922,0.1548868128060625,0.03910984848484848,0.08002485328313229,4.0,0,0.31921557913863835
arousal,all,72,gpu_mlp,20260911,0.5,0.45010252904989745,0.4965823650034176,0.04647983595352018,0.49207136214971736,0.35491352361124906,0.15294823232323235,0.5166666666666666,EPPVR,audit_population,subject,0.029049897470950103,0.045325065194091685,0.015909090909090918,0.017429938482570073,0.3095884584171574,0.13703914141414142,0.15995403684886464,4.0,0,0.8717444745981131
arousal,all,72,gpu_mlp,20260911,0.75,0.45010252904989745,0.4955570745044429,0.04545454545454547,0.7394175875316934,0.50674992327808,0.07397727272727272,0.5166666666666666,EPPVR,audit_population,subject,0.029049897470950103,0.045325065194091685,0.015909090909090918,0.016404647983595366,0.4614248580839883,0.05806818181818181,0.23840284334339393,4.0,0,0.8630538154059053
arousal,all,72,gpu_mlp,20260911,1.0,0.45010252904989745,0.5560492139439508,0.10594668489405334,1.0,0.673858332101686,0.1510037878787879,0.5166666666666666,EPPVR,audit_population,subject,0.029049897470950103,0.045325065194091685,0.015909090909090918,0.07689678742310324,0.6285332669075943,0.13509469696969698,0.324742187902257,4.0,1,0.9864234171318791
arousal,all,72,gpu_mlp,20260923,0.25,0.436431989063568,0.4535201640464798,0.01708817498291182,0.24530545888058208,0.1923875542904973,0.06550976800976802,0.4571428571428572,EPPVR,audit_population,subject,-0.017429938482570073,0.028281514383108507,0.00972222222222222,0.03451811346548189,0.1641060399073888,0.05578754578754579,0.07501990395766346,4.0,1,0.33508677120392755
