dataset,population,representation,n_features,axis,probe_model,split_seed,n_classes,chance,balanced_accuracy
EPPVR,evaluation_population,baseline_delta,72,subject,rbf,20260911,15,0.06666666666666667,0.45238095238095244
EPPVR,evaluation_population,all,72,subject,linear,20260923,15,0.06666666666666667,0.561904761904762
EPPVR,evaluation_population,all,72,subject,rbf,20260923,15,0.06666666666666667,0.4666666666666667
EPPVR,evaluation_population,relative_power,24,subject,linear,20260923,15,0.06666666666666667,0.3142857142857143
EPPVR,evaluation_population,relative_power,24,subject,rbf,20260923,15,0.06666666666666667,0.2952380952380952
EPPVR,evaluation_population,normalized_asymmetry,12,subject,linear,20260923,15,0.06666666666666667,0.3952380952380952
EPPVR,evaluation_population,normalized_asymmetry,12,subject,rbf,20260923,15,0.06666666666666667,0.3904761904761905
EPPVR,evaluation_population,baseline_delta,72,subject,linear,20260923,15,0.06666666666666667,0.4904761904761905
EPPVR,evaluation_population,baseline_delta,72,subject,rbf,20260923,15,0.06666666666666667,0.43809523809523815
EPPVR,evaluation_population,all,72,subject,linear,20261007,15,0.06666666666666667,0.6095238095238095
EPPVR,evaluation_population,all,72,subject,rbf,20261007,15,0.06666666666666667,0.5333333333333333
EPPVR,evaluation_population,relative_power,24,subject,linear,20261007,15,0.06666666666666667,0.3619047619047619
EPPVR,evaluation_population,relative_power,24,subject,rbf,20261007,15,0.06666666666666667,0.32857142857142857
EPPVR,evaluation_population,normalized_asymmetry,12,subject,linear,20261007,15,0.06666666666666667,0.4666666666666666
EPPVR,evaluation_population,normalized_asymmetry,12,subject,rbf,20261007,15,0.06666666666666667,0.41904761904761906
EPPVR,evaluation_population,baseline_delta,72,subject,linear,20261007,15,0.06666666666666667,0.5238095238095238
EPPVR,evaluation_population,baseline_delta,72,subject,rbf,20261007,15,0.06666666666666667,0.46666666666666673
