held_out,n_test,soft_prevalence,hard_prevalence,probabilistic_model_soft_brier,frozen_hard_model_soft_brier,probabilistic_model_hard_auroc,frozen_hard_model_hard_auroc,probability_spearman,final_training_loss
DEAP,240,0.308555,0.17083333333333334,0.03502225796349903,0.04345394838039423,0.6825591371491605,0.6998406667483761,0.9075018663518463,0.6466504365871426
MAHNOB-HCI,240,0.38478083333333335,0.30416666666666664,0.05723688660258545,0.06078788767965689,0.7094577967352965,0.7522762693790501,0.7142650046007741,0.606255580345974
